No X1 X2 X3 X4 X5 X6

1 4 298 5.0 1 6 39

2 1 345 6.5 2 7 47

3 3 183 3.2 0 5 18

4 2 340 7.7 5 17 29

5 3 350 6.5 2 5 45

6 4 380 8.5 2 7 50

7 1 190 3.6 0 4 26

8 2 351 6.3 3 15 58

9 4 443 9.7 3 8 80

10 1 290 14.0 4 4 15

11 2 160 4.8 0 7 29

12 2 298 5.0 2 8 46

13 2 185 2.6 4 8 28

14 2 370 8.4 3 9 82

15 2 245 6.2 1 7 43

16 1 377 13.7 2 5 47

17 1 92 3.6 4 7 33

18 1 380 7.0 5 15 70

19 1 195 4.8 6 6 20

20 4 265 6.3 4 6 52

21 2 232 7.5 3 6 70

22 4 358 6.4 2 11 39

23 1 290 4.8 0 12 39

24 2 307 12.5 3 10 58

25 1 433 9.5 3 16 96

26 1 255 5.1 0 6 23

27 1 320 7.8 3 6 53

28 4 237 3.9 2 8 23

29 4 472 6.6 2 8 60

30 4 438 13.8 4 8 96

31 4 250 9.0 3 3 12

32 2 340 9.1 2 10 76

33 4 204 5.2 2 6 44

34 4 282 8.0 3 14 58

35 1 195 7.2 3 10 32

36 2 251 6.7 3 6 51

37 1 90 2.4 1 2 14

38 2 200 5.8 3 4 28

39 4 350 7.0 3 10 45

40 2 620 4.8 4 10 40
